trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
2706,157.4,20.3,23.5,10.43,4.32,12.52,7.59E+53,5.36E+53,3.65E+54
2709,189.6,13,14.4,10.2,2.58,4.49,1.06E+54,5.10E+53,1.34E+54
2711,101.7,23.6,38,5.06,2.42,14.89,8.91E+52,7.02E+52,1.92E+54
2728,159.5,44.8,46,7.75,4.74,24.43,4.57E+53,4.07E+53,1.05E+55
2736,185.4,34.8,38,3.53,1.27,2.43,1.66E+53,1.09E+53,4.03E+53
2749,48.9,8.1,29.9,1.35,0.31,1.89,3.08E+51,1.47E+51,2.31E+52
2760,65.7,10.9,3.9,2.85,0.85,0.39,1.50E+52,8.70E+51,5.40E+51
2774,63.5,22.4,20.9,1.93,0.94,1.53,8.13E+51,6.56E+51,2.51E+52
2790,217.1,15.6,16,6.77,1.47,2.11,6.68E+53,2.90E+53,5.77E+53
2797,273.7,9.3,9.8,3.2,0.24,0.27,3.10E+53,5.30E+52,6.70E+52
2798,536.3,5.5,5.6,2.08,0.04,0.04,6.40E+53,2.90E+52,3.00E+52
2799,164.5,16.6,17.6,2.81,0.54,0.73,9.23E+52,3.75E+52,6.85E+52
2812,235.7,7.1,7.4,1.93,0.1,0.11,1.12E+53,1.40E+52,1.60E+52
2815,91.4,5.8,5.4,6.27,1.18,1.43,1.04E+53,4.00E+52,6.30E+52
2831,766.1,15.5,15.9,1.31,0.04,0.04,7.34E+53,5.40E+52,5.80E+52
2852,437.3,27.3,29.8,7.57,1.54,2.33,3.30E+54,1.35E+54,2.79E+54
2855,318.2,6.5,6.7,2.16,0.08,0.09,2.37E+53,2.10E+52,2.40E+52
2877,48.6,1.8,1.8,0.41,0.02,0.02,1.10E+51,1.10E+50,1.10E+50
2880,137.1,21.2,23.5,3.39,1.03,1.77,8.49E+52,4.93E+52,1.45E+53
2889,248.9,39,48.5,4.2,1.4,3.12,3.93E+53,2.44E+53,1.04E+54
2891,747.5,18.9,19.7,8.81,0.86,1.03,1.26E+55,2.60E+54,3.60E+54
2894,217.3,8.9,9.5,1.59,0.1,0.12,7.44E+52,1.14E+52,1.40E+52
2897,45.4,1.2,0.9,0.77,0.03,0.02,1.51E+51,1.20E+50,9.00E+49
2913,121.6,15.7,17,2.09,0.45,0.61,3.31E+52,1.47E+52,2.86E+52
2919,315.6,21.4,23.4,4.22,0.69,0.95,6.36E+53,2.20E+53,3.89E+53
2924,101.4,8.9,8.5,10.43,3.25,5.33,3.15E+53,1.81E+53,4.81E+53
2925,73.5,30.6,39.4,3.74,2.4,16.43,2.85E+52,2.62E+52,1.31E+54
2929,460.5,14.8,15.6,3.95,0.31,0.37,1.22E+54,2.20E+53,2.90E+53
2945,42.8,7.9,14.8,1.39,0.36,0.92,2.44E+51,1.26E+51,6.09E+51
2950,120.3,32,25.8,8.18,4.92,14.36,2.86E+53,2.53E+53,2.49E+54
2951,148.6,63.1,51.9,6.52,4.74,25.25,2.93E+53,2.80E+53,9.83E+54
2953,196.3,5,5.2,1.11,0.04,0.04,4.03E+52,3.50E+51,3.90E+51
2958,144.6,14.7,17,2.87,0.57,0.84,7.35E+52,3.03E+52,6.27E+52
2988,199.1,28.5,34.3,7.94,3.19,9.11,7.44E+53,5.18E+53,3.42E+54
2998,72.8,7.8,5.3,3.03,0.64,0.54,2.02E+52,8.80E+51,9.70E+51
3001,219.3,19.5,20.8,7.4,2,3.36,7.96E+53,4.12E+53,1.08E+54
3003,326.5,13.1,13.9,7.4,1,1.31,1.77E+54,5.00E+53,8.00E+53
3011,178.4,39.6,42.7,1.77,0.58,0.88,5.73E+52,3.56E+52,9.53E+52
3012,76.8,28.1,42,2.24,1.17,4.55,1.45E+52,1.21E+52,1.87E+53
3015,170.5,24.1,29.3,11.37,5.18,19.51,1.04E+54,7.80E+53,8.48E+54
3032,103.1,9.8,15.1,3.31,0.65,1.4,4.63E+52,1.90E+52,6.06E+52
3035,167.1,47.2,76.6,1.04,0.37,0.82,2.73E+52,1.78E+52,8.70E+52
3039,132.9,6.3,6.4,1.83,0.14,0.16,3.31E+52,6.00E+51,7.50E+51
3042,303.1,13.3,14.1,2.99,0.28,0.33,3.44E+53,7.20E+52,9.70E+52
3055,73.4,2.7,1.9,1.75,0.11,0.08,9.57E+51,1.35E+51,1.08E+51
3056,125.9,13.7,16.8,2.34,0.45,0.7,4.16E+52,1.68E+52,3.65E+52
3057,683.9,13.9,14.4,1.28,0.04,0.04,5.71E+53,4.10E+52,4.60E+52
3067,380.4,11.8,12.5,1.88,0.1,0.11,2.82E+53,3.60E+52,4.20E+52
3068,132.4,38.5,26.2,9.63,6.34,17.8,4.65E+53,4.27E+53,4.31E+54
3070,171.2,33.5,23.7,11,6.06,12.34,9.91E+53,8.34E+53,4.30E+54
3072,55.5,31.2,16.4,2.04,1.42,1.47,6.66E+51,6.30E+51,1.79E+52
